|Address|Name|Phone
179|Shop 5, Gyan Deep Complex, Gr Floor, Opposite Canara Bank, Bank St, Munirka Vasant Vihar, New Delhi - 110067|Health View Diagnostic Centre (Munirka)|011 3267 8452
180|A 1/150, Near Kamal Cinema, Behind Green Field School, Safdarjung Enclave Safdarjung, New Delhi - 110029|Dr M L Aggarwal Imaging Centre|011 3951 2025
181|B-7 Ext./126A, Arjun Nagar, Safdarjung Enclave Safdarjung, New Delhi - 110029|Sukhmani Hospital|011 2619 4000
182|B 1/12, Safdarjung Enclave, Near mahindra showroom, Bhikaji Cama Place, Block B 1 Safdarjung, New Delhi - 110029|Goyal MRI & Diagnostic Centre|011 4077 1234
183|Wz-409c, Opposite D D U Hospital Main Gate, Shaheed Mangal Pandey Marg, Janak Park, Pocket 408, Hari Nagar Janakpuri, New Delhi - 110064|Noble Diagnostic Centre|9015122220
184|C 1/2, Janakpuri C Block, Opposite Mata Chanan Devi Hospital Janakpuri, New Delhi - 110058|Suraksha Diagnostic (Janakpuri)|011 3304 1315
185|Plot No E 3/7, Mail Road, Rohini Sector 11, Near G3s Cinema Hall, Pocket E Rohini, New Delhi - 110085|Arora Diagnostic (Rohini)|011 2757 1155, 011 2757 0613, 011 4568 1756, 9810024554
186|Plot No. 1B1, 3rd Floor, Kings Mall, Bhagawan Mahavir Marg, Sector 10, Near Rohini West Metro Station Rohini, New Delhi - 110085|Must & More Diagnostic Centre|011 6637 3737
187|63, Pocket H-32, Sector-3 Rohini, New Delhi - 110085|Delta Diagnostics|011 2751 2342
188|C.S.C-17,Pkt-17, Sector 7H Rohini, New Delhi - 110085|Religare Srl Diagnostics (Rohini)|011 2705 1885
189|D-12,Gali No:4,Nanesh Enclave,Pehladpur Banger, Jain Colony Rohini, New Delhi - 110042|Delhi Diagnostic Centre|9213733199
190|G-29/62, Sir Chotu Ram Marg, Sector 3 Rohini, New Delhi - 110085|Dr. Aggarwal's Diagnostics|011 2751 8660
191|B-3/57, Sec. 6, Opposite Ambedkar Hospital Gate No. 3, Sir Chotu Ram Marg, Sector 6B Rohini, New Delhi - 110085|Bharat Diagnostics Centre|011 4782 4762
192|271, Pkt. H-17, Bhagawan Mahavir Marg, Sector 7H Rohini, New Delhi - 110085|Handa X-Ray & Clinical Laboratory|011 2704 2927
193|Near Japanese Park, Pocket C, Sector 2 Rohini, New Delhi - 110085|Red Diagnostics Centre|8802460293
194|109, POCKET-A-1, NEAR DEEPALI CHOWK, OPP. BAGGA LINK, SECTOR-8 Rohini, New Delhi - 110085|Ganesh Diagnostic & Imaging Centre (Rohini)|011 2794 8484, 9811067479, 9810183948, 9212125996
195|A-4/77, Sector 16 Rohini, New Delhi - 110085|Jain Diagnostic & Heart Clinic|011 2729 7183
196|Shop No.1, Flat No.1, Pkt. F-23, Sector-3, Dr NS Hardikar Road Rohini, New Delhi - 110085|Jeewan X-Ray Clinic|011 2751 2695
197|B-35, Moti Nagar Kirti Nagar, New Delhi - 110015|Master Diagnostics|011 2591 5910, 9312276182, 9810140754
198|C-44, Bhimsen Dhingra Marg, C Block Kirti Nagar, New Delhi - 110015|Med Point Clinic|011 2591 5974
199|Shop Number. 4/37, Jagdish Sachdeva Marg, Block 4, Moti Nagar Kirti Nagar, New Delhi - 110015|Shivam Xray Lab Clinic|011 2516 8882
200|C B, Opposite Acharya Bhikshu Hospital, 15/4, Moti Nagar Road Kirti Nagar, New Delhi - 110015|HiTech Diagnostics (Kirti Nagar)|8506050516
201|Gurudwara Shree Guru Singh Sabha, Sant Baba Karam Singh Marg, New Moti Nagar, Moti Nagar Kirti Nagar, New Delhi - 110015|Life Care Diagnostics Centre|011 6572 4740
202|B-37/1, Ramesh Nagar, Near State Bank Of India & LIC Office Kirti Nagar, New Delhi - 110015|Dr G L Arora Clinic|011 2593 5959, 9811181706
203|Vasundhara Enclave, Dharamshila Road, Near New Ashok Nagar Metro Station New Ashok Nagar, New Delhi - 110096|Dharamshila Cancer Hospital and Research Centre|011 4306 6353
204|108 A, Indraprastha Extension, Patparganj Patparganj, New Delhi - 110092|Max Super Speciality Hospital (Patparganj)|011 4303 3333, 011 3951 0682
205|4-11, Asaf Ali Rd, Chandni Mahal, Chandni Chowk Pahar Ganj, New Delhi - 110002|Dr Suneja Mri & Diagnostic Centre|011 2325 4465
206|B-1266/1267, Shop No.9 R.S.TOWER, Opposite Metro pillar No. 156, Near Metro Station New Ashok Nagar, New Delhi - 110096|HealthScan Pathology Laboratory|011 3341 3903, 8750213101, 8860362916
207|A 440, GD Colony, Mayur Vihar Phase III Mayur Vihar, New Delhi - 110096|Dr Kumar Path Lab|011 3345 3510
208|12, D D A Local Shopping Complex, Opposite Jeevan Anmol Hospital, Mayur Vihar Phase I, Pratap Nagar Mayur Vihar, New Delhi - 110091|Malik Diagnostic Centre|011 3307 9275, 9810081573
209|No. 101, Mayur Vihar Phase 1, Near Virmani Hospital Mayur Vihar, New Delhi - 110091|Dr Chandra Path Lab|011 2272 1548, 9250509775
210|C-1/7, Opposite Mata Chanan Devi Hospital Janakpuri, New Delhi - 110058|Star Imaging and Path Lab Pvt Ltd|011 4560 2200, 011 4057 4111, 011 4057 4112, 9990019101
211|A-5B/63A, Near C-2 Bus Stop, Lal Sain Mandir Marg, Possangipur Janakpuri, New Delhi - 110058|Swati Diagnostic Centre|011 2028 5650, 011 4011 9286
212|C4E/334, Ram Mandir Marg Janakpuri, New Delhi - 110058|Grover Diagnostics|011 4561 0543
213|C 3 New Krishna Park Janakpuri, New Delhi - 110058|Capital X-Ray & Scan Clinic|011 4158 2442, 011 4158 2332
214|D-2 Block Janakpuri, New Delhi - 110058|M P Diagnostic Center|011 2852 4274
215|Shop No.9, Opp. Orchid Hospital, C3 Rd, C-2 D Block, C - 2D Market Janakpuri, New Delhi - 110058|Star X Ray & Path Lab|011 4502 7166
216|AL- 6, Sbi Building, Jail Road, Block-L, Hari Nagar Janakpuri, New Delhi - 110058|Wellness Pathcare (Janakpuri)|011 3305 7623, 9990921988
217|B - 3A/225, Behind Andhra School Janakpuri, New Delhi - 110058|The Path Lab|011 3345 2741
218|B-15, Ground & First Floor, Shankar Garden, Opposite Metro Pillar No-609, Vikaspuri Janakpuri, New Delhi - 110018|Dr Rajivs Ultrasound Lab|011 3954 6941, 011 4551 5754, 011 4563 0884
219|B-31, Shivalik Road, Near Aurobindo College Malviya Nagar, New Delhi - 110017|Dr. Mukul's Diagnostic Clinic|011 2669 2555
220|H 36 D, Saket Malviya Nagar, New Delhi - 110017|Sun Diagnostic Centre|011 2651 2481, 011 2651 4566
221|6/75, Guru Gobind Singh Marg, Block E Malviya Nagar, New Delhi - 110017|Quest Diagnostics India- Patient Service Centre|011 4605 4971
222|90/3 A, Near PT. Madan Mohan Govt Hospital & School, Malviya Nagar Inner Lane Malviya Nagar, New Delhi - 110017|Dr Makkar Diagnostic Centre|011 4143 5248
223|B-89 Malviya Nagar, New Delhi - 110017|Modern Diagnostic Center|011 2667 1708, 011 3988 5050
224|B-34, Basant Kaur Marg, Block B, Shivalik Malviya Nagar, New Delhi - 110017|VNH Diagnostics|011 2669 1356
225|109 AGGARWAL TOWER, POCKET O&P MARKET Dilshad Garden, New Delhi - 110095|Diagnostic Point|011 2213 0717
226|108-a, Pocket 1 Dilshad Garden, New Delhi - 110095|Dr Agarwal's Pathology Lab|9871463492
227|IHBAS Hospital Complex, Near GTB Hospital Dilshad Garden, New Delhi - 110095|Focus Imaging & Research Centre (Dilshad Garden)|011 2211 1000
228|118-A/B-2, Ground Floor Dilshad Garden, New Delhi - 110095|Unique Diagnostic Center|011 2213 9003, 011 2213 4830
229|Building No. 241-A, GTB Campus Dilshad Garden, New Delhi - 110093|Best Care Diagnostics|011 2213 1347
230|F/94-A, Opp. GTB Hospital, Pocket F Dilshad Garden, New Delhi - 110095|City Ultrasound Center|9899478833
231|F-106,Chetak Complex, Pocket B & E Market, Chetak Complex Dilshad Garden, New Delhi - 110095|Prime Diagnostics|011 2259 7080, 011 2258 6640
232|Shop no. G3, Plot no. 118A/B1, Near jeevan jyoti hospital Dilshad Garden, New Delhi - 110095|Hindustan Diagnostic Center|8800163465, 8800162761
233|Shop No.1, F-185-A, Opposite GTB Hospital, Pocket F Dilshad Garden, New Delhi - 110095|Anand Imaging Center|8459413215
234|15/1 Ground Floor, Mandir Lane, Yusuf Sarai, Near Green Park Metro Station Green Park, New Delhi - 110016|SRL Diagnostics (Green Park)|11 3305 8484, 7210560275
235|C 15, Green Park Extension, Near Gurudwara Green Park, New Delhi - 110016|MRI Diagnostic And Research Centre|, 011 3374 4015, 011 3951 4204, 9810611206
236|D-1206/1A, MB ROAD, Sangam Vihar Sainik Farm, New Delhi - 110080|Surya Lab|8459819998
237|L-1632/29, sani bazar main road, Sangam Vihar Sainik Farm, New Delhi - 110080|New Life care Diagnostic center|8826038734
238|35-A, Main Surajkund Road, Pul Prahladpur, Badarpur Tughlakabad, New Delhi - 110044|Dr Rupalis Ultrasound And Pathology Lab|9911770075, 9891592800
239|AD-130 A Shalimar Bagh, New Delhi - 110052|Shalimar Diagnostic Centre|011 2748 0015
240|1441 A, Ward No 1& 5, Saini Mohalla, Opposite Primary Health Centre Najafgarh, New Delhi - 110043|Doctors Diagnostic Center|011 2501 4099
241|Roshan Mandi, Masudabad Najafgarh, New Delhi - 110043|Path Star Diagnostic Centre|011 6467 1123, 9212348031, 9717101123
242|25, Thana Road, Near Chhawla Stand Najafgarh, New Delhi - 110043|National Diagnostic Centre|011 2502 1044, 011 2501 2814
243|Thana Road Najafgarh, New Delhi - 110043|Delhi X-Ray & Lab|9711431850
244|WZ-148, Ring Road, Mahatma Gandhi Road, Naraina Village Mayapuri, New Delhi - 110028|Vishishth Daignostic Center|9818316422
245|F-54, Bhimsen Dhingra Marg, Block F Kirti Nagar, New Delhi - 110015|Metropolis Healthcare Ltd (Kirti Nagar)|011 4142 4168
246|WZ-6, Near Sabji Mandi, Naraina Village Mayapuri, New Delhi - 110028|Getwell Diagnostic Centre|9999716747
247|C 44,Ground Floor Kirti Nagar, New Delhi - 110015|Quest Diagnostics (Kirti Nagar)|011 4237 1000, 9910684244
248|D-76, Guru Gobind Singh Marg, DDA Flate Malviya Nagar, New Delhi - 110017|Metropolis Health Care|9810899503
249|Shop No 1, Paryavaran Complex Main Road, Freedom Fighter Vihar, Saiyad ul Ajaib Sainik Farm, New Delhi - 110044|Roots Diagnostics Centre|8287770800
250|Mehrauli - Badarpur Rd, Khanpur Village, Khanpur Sainik Farm, New Delhi - 110062|Southend Diagnostic Point|9818476337
251|F-117 Khanpur Village, Shcool Road, Khanpur, Near Shiv Mandir Shiv Park Sainik Farm, New Delhi - 110062|Ciplo Diagnostics|9999286240
252|BB-41, Shalimar Bagh West, Near Pyramid Mall Shalimar Bagh, New Delhi - 110088|Manisha Diagnostics|011 2748 1501, 9873510720
253|B 4/138, Shop Number 4, Rohini Sector 7 Rohini, New Delhi - 110085|Diagno Labs Pvt Ltd|011 3343 5827, 9650026570, 9999216480
254|House No-13/A, Near Voter Election Office, Main Chhatarpur Road, Chattarpur Sainik Farm, New Delhi - 110074|Health Point Diagnostics|011 6512 3707
255|Shop No. 26, 27, Delhi Development Authority Market, BH West Shalimar Bagh, New Delhi - 110088|Gupta Diagnostic Centre (Shalimar Bagh)|011 2748 4740
256|Shop No: AA-25, Near Mother Dairy Shalimar Bagh, New Delhi - 110088|Medix Diagnostics|9911585085
257|Main Road Shalimar, BC-62, Maharaja Agrasen Marg, West Shalimar Bagh Shalimar Bagh, New Delhi - 110088|Kashyap Diagnostics|011 2748 5024
258|Aj 31 A, L I G Flats Shalimar Bagh, New Delhi - 110052|New India Diagnostic Centre|011 2747 7639
259|Shop No.415, Galli Choupal Wali, Shalimar Village Shalimar Bagh, New Delhi - 110088|R.K. Diagnostic Centre|011 2749 5194, 9654367194
260|47, Harsh Vihar, Shyamji Krishna Varma Marg, Engineers Enclave Pitampura, New Delhi - 110034|OnePlus Ultrasound Lab|011 4248 0101
261|4(FF), JD Market, Vaishali Pitampura, New Delhi - 110088|Aarushi Diagnostic Center|011 2731 2235
262|Ed-9A, Madhuban Chowk Pitampura, New Delhi - 110088|Nanda Diagnostics|011 4750 0500
263|Y 2069, Mangolpuri, Opposite Primary School Gate Pitampura, New Delhi - 110034|Wellage Path Care|011 3305 9806
264|735/5, Main Road Burai, Near Govt.School ,Opposite MTNT Exchange Office Burari, New Delhi - 110084|SRL Diagnostics (Burari)|9868423796
265|A-621, Nathu Pura Main Road, Kaushik Enclave Burari, New Delhi - 110084|Health Care Diagnostic Centre|9910319498
266|Shop No 20, Neelkhant Apartment 2, Sant Nagar, Opposite bank of Baroda Burari, New Delhi - 110084|Dhruv Diagnostics Center|011 2761 2393, 9013974330
267|Main Road, Opposite Sant Hospital, West Sant Nagar Burari, New Delhi - 110084|Capital Ultrasound Centre|9818077928
268|Main Gali, Near Kamal Vihar Burari, New Delhi - 110084|Bharat Medicos|9910277446
269|Gali No. 1, Kaushik Enclave, Nathupura Road, Block A Burari, New Delhi - 110084|Shree Ganesh Pathological Lab|9990641456
270|A-240, Main Road, Kaushik Pura, Gali Number 6, Block A, Nathu Pura Burari, New Delhi - 110084|Sharda X-Ray & Pathological Lab|9599106189
271|787/1, Sant Nagar, 100 Foota Road, Opposite Canara Bank Burari, New Delhi - 110084|Vardaan Diagnostics & Woman Care Center|011 3374 2864
272|Shop No. 21/117, Bhagwati Chowk, Bangali Colony, A-1 Block Burari, New Delhi - 110084|Maa Parwati Diagnostic Center|9990687203
273|D.C.M. Colony, Nathu Pura Burari, New Delhi - 110084|Life Line Diagnostics Center|9654732875
274|Plot No -2, Gali No-1, Mian Burari Chowk, Near Daroga Market Burari, New Delhi - 110084|Global Path Lab|011 6536 5264, 9136497006, 9313616541
275|433/1,City Child & Family Care Hospital, Main 100 Feet Road, Near Laxmi Vihar Main Bus Stand Burari, New Delhi - 110084|City Lab & Imaging Centre|011 3363 4531
276|Main Bus Stand, Opposite Union Bank Of India Burari, New Delhi - 110084|Shri Ram X Ray Lab|9211461937, 9810481138
277|10-B, Kasturba Gandhi Marg Pahar Ganj, New Delhi - 110001|Diwan Chand Satyapal Aggarwal Diagnostic Imaging Research Centre|011 4370 7700, 011 2332 9887
278|Shop No.1, Plot-H4, Ground Floor, Model Town III, Model Town Civil Lines, New Delhi - 110009|Quest Diagnostics (Model Town)|011 4237 1507
279|C-41, Mahendru Enclave, Lane No. 4, Opposite Vardhman Mall, Near Azadpur Metro Station Pahar Ganj, New Delhi - 110033|Shivam Diagnostics|011 2722 1222
280|Shop No.388, Sabzi Mandi Old Pahar Ganj, New Delhi - 110007|Human Path Lab|9212329569
281|4-B, Ansari Rd, Dariya Ganj Pahar Ganj, New Delhi - 110002|Dr. Dusaj's Diagnostic Laboratory|011 2327 5213
282|Shop No. 1502, Gali Qasim Khan, Balli Maran Gali, Chandni Chowk Pahar Ganj, New Delhi - 110006|Mesco Diagnostic Center|011 2394 4724
283|Chandni Mahal, Chandni Chowk Pahar Ganj, New Delhi - 110006|CDDC Pvt Ltd|011 2328 9448
284|Building No. 8047/9, Multani Dhanda Pahar Ganj, New Delhi - 110055|Jeewan Jyoti Diagnostic Centre|011 2353 4458, 9810991509, 9582082366
285|2362-T, Opposite Hanuman Mandir, Bawana Road Narela, New Delhi - 110040|Ganesh Diagnostic & Imaging Centre Pvt Ltd|9911579584
286|1984-1, Mangla Chowk, Opposite Central Bank Of India, Adjacent To Bahadurgarh Bus Stand, Railway Road, Rajeev Colony Narela, New Delhi - 110040|Dr. Bansal's Diagnostic Centre|011 2778 7989
287|75/151, Near Syndicate Bank, Main Narela Road, Alipur Narela, New Delhi - 110036|Om Sai Diagnostic Centre|9899607055
288|24, Auchandi Road, Bawana Narela, New Delhi - 110039|Health Care Diagnostic Center|8860785377
289|154/25-36, Opp. Maharishi Balmiki Hospital, Main Bawana Road, Pooth khurd, Puth Khurd Village Narela, New Delhi - 110039|Jain Diagnostic Centre|011 2776 2258
290|A-100, Basement, Main Road, Masoodpur, Vasant Kunj Vasant Vihar, New Delhi - 110070|Arpna Diagnostic Center|011 2612 4862, 011 3244 4359, 9810196882
291|C-28/2, 1st Floor, Main Road, Opposite Community Centre, Abdul Gaffar Khan Marg, Vasant Kunj Vasant Vihar, New Delhi - 110070|Sigma Diagnostic Centre|8800552957
292|7B, Opposite NTPC Gate No.-3, Jaitpur Road, Molar band Extension, Badarpur Tughlakabad, New Delhi - 110044|Sharma Diagnostic Center|9350229451
293|150, Basement, Main Chowk, Badarpur Village, Badarpur Tughlakabad, New Delhi - 110044|Dabra Diagnostic Centre|9716166447
294|109, Pocket D & E Shopping Complex, NEAR MTNL OFFICE, Sarita Vihar Okhla, New Delhi - 110076|Immuno Diagnostics Private LImited|011 2694 4867
295|B- 44, BHARAT NAGAR Okhla, New Delhi - 110025|Srl Religare Diagnostic Centre|011 2684 8485
296|D - Block, Ismailpur Road, Sarpanch Farm, Jaitpur Road, Badarpur Tughlakabad, New Delhi - 110044|Chitransh Diagnostic Centre|9958636148
297|G-72/3, 1st Floor, Shaheen Bagh, Jasola Okhla, New Delhi - 110025|Hopkins Laboratories|011 2994 5829
298|230, L I C Building, Opposite J B Hospital Dilshad Garden, New Delhi - 110095 |Yashoda Life Time|99103 76200, 9313118538
299|D D A Market, 1st Floor, Opposite G T B Hospital Gate No. 8 Dilshad Garden, New Delhi - 110093|Jyoti Dignostic Center|9250150262, 9871721446
300|No. G-8, Shivam Plaza, B & E Market, Opposite Jhill Mill Metro Station Dilshad Garden, New Delhi - 110095|Merrill Healthcare|9810676601, 9313116491
301|Shop No 6, 1st Floor, DDA Market, Pocket E, GTB Enclave, Opposite GBT Hospital, Dilshad Garden, New Delhi - 110093|Pratham Diagnostics Center|011 3080 3870
302|34 Rani Jhansi Road, Near Jhandewalan Mandir Dilshad Garden, New Delhi - 110055|Path Care Labs Pvt. Ltd.|011 3080 3870
303|Shop no.10, pocket I, dda market Dilshad Garden, New Delhi - 110095|Dr. Singh's Ultrasound & Diagnostic Centre|011 2211 4902, 011 2211 5902, 9910044902
304|F 182 Dilshad Colony, Opposite Seemapuri Dtc Bus Depo Pass Dilshad Garden, New Delhi - 110095|Gtb Diagnostic Centre|9910007242
305|E-200a, Lig Flat, Gtb Enclave, Opposite Gate No-10, Gtb Hospital Dilshad Garden, New Delhi - 110093|Mayur Pathology Lab|9210326558, 9911227578
306|F-103,103a Dilshad Garden, New Delhi - 110095|Indraprasth Diagnostic Centre (Dilshad Garden)|011 2212 3803, 011 2212 0505, 9811924947, 9654220118
307|Shop No. 13, Defence Colony Market, Block A, Defence Colony Lajpat Nagar, New Delhi - 110024|Religare Wellness|011 4953 7737
308|D-1, Second Floor, Defence Colony Lajpat Nagar, New Delhi - 110024|Zureka Network Lab|011 2983 5921, 9654964455
309|E-991, Pitampura Road, Saraswati Vihar Road Pitampura, New Delhi - 110034|Sachdeva Diagnostic Pvt Ltd|011 2701 3174
310|No. 17, Maharshi Parshuram Marg, Tarun Enclave Pitampura, New Delhi - 110034|Sigma Diagnostics|011 2701 3138
311|C-57, Preet Vihar, Shakarpur Patparganj, New Delhi - 110092|SRL Diagnostics (Preet Vihar)|011 4587 2190
312|Qu - 198 A Pitampura, New Delhi - 110034|Jain Diagnostic Centre (Pitampura)|011 2734 3176
313|P-10, Phase-1, Patparganj Road, Pandav Nagar, Block P Mayur Vihar, New Delhi - 110091|Arora Diagnostic Centre|011 2275 1817
314|23, Gagan Vihar, Near Karkardooma Crossing, Jagatpuri, Laxmi Nagar Karkardooma, New Delhi - 110092|Delhi Gut & Liver Clinic|011 3294 6399
315|B 248 Uniyal Complex, Main Road, Vinod Nagar, Opposite Akash Bharti Patparganj, New Delhi - 110092|Astha Path Lab|011 3363 6278
316|B-294, opposite East End Appts, Mayur Vihar phI extension, Near Ashok Nagar Metro Station- On main road New Ashok Nagar, New Delhi - 110096|Diabetes Care Centre|011 2271 0663, 9871110663
317|E 411 A, Taksal Road And 40 Foota Road, Near Rajdhani Public School New Ashok Nagar, New Delhi - 110096|Sai Polyclinic|011 3374 2527
318|242, Pkt-E, Mayur Vihar Phase II Mayur Vihar, New Delhi - 110091|Dr Manisha Kumar Ultrasound Clinic|011 3954 2204, 9971713301
319|Shop No:T-43,Okhla-1, Ma Anandmayee Marg, Tekhand, Okhla Phase I, Okhla Industrial Area Okhla, New Delhi - 110020|Nishantha Diagnostic Centre|011 2637 1999
320|Shaheen Bagh, E/193/3, Maulana Azad Rd, Shaheen Bagh, Jasola Vihar Okhla, New Delhi - 110025|Biocare Diagnostics|9818932628
321|Shop No - K 1/110, Ground Floor,(Left Side), Chittaranjan Park Okhla, New Delhi - 110019|Quest Diagnostics (Okhla)|011 4300 5456 
322|H-1, Vikramaditya Towers, Alaknanda Market, DDA Flats Kalkaji, Kalkaji Okhla, New Delhi - 110019|Alaknanda Diagnostic|011 2602 4948
323|E-117, Main Road, Near Nehru Place, Kalkaji Main Road, Block E, Kalkaji Okhla, New Delhi - 110019|Health Quotient|011 2644 4537
324|3/2, Basement, Kalkaji Extension, Near Kalkaji Police Station And Kalkaji MCD Hospital Okhla, New Delhi - 110019|Bhagirathi Diagnostic & Dental Centre|011 2621 4681, 011 3349 5324
325|D-616, Block D, Chittaranjan Okhla, New Delhi - 110019|Sachdeva Diagnostics|011 4160 0800
326|E-22, Chaudhary Girdhari Lal Marg, Naraina Vihar Mayapuri, New Delhi - 110028|Apex Hospital|011 3307 4607, 011 4237 1367
327| E - 18, Defence Colony Lajpat Nagar, New Delhi - 110024|Medanta Mediclinic|011 4411 4411
328|A-263, Bhisham Pitamah Road, Defence Colony, Near Arya Samaj Mandir Lajpat Nagar, New Delhi - 110024 |Quest Diagnostic India Private Limited|011 4671 4693
329|C/o Clinical Diagnoitics Labortory,Shop Number-B 43, Defence Colony Lajpat Nagar, New Delhi - 110024|Dr Swati Anand Clinical Diagnostics Labortory|011 2433 4287, 9968258545
330|C-215, Defence Colony Lajpat Nagar, New Delhi - 110024|Arvind Lab|011 3372 3993
331|Tughlakabad Extension Tughlakabad, New Delhi - 110019|Shalem Path Lab|9810261915 
332|Rz 310, Street No. 20, Tughlakabad Extension, Opposite Tara Apartment Tughlakabad, New Delhi - 110019|Aruna Diagnostic Centre|9873079700
333|HR 25 Basement, Shop No.1 Sharma Market, Badar Pur, Pul Pehladpur Tughlakabad, New Delhi - 110044|Limra Diagnostic Centre|9868413150, 9015414497
334|Rz-181a/15, Tughlakabad Extension, Near Tara Appartment Tughlakabad, New Delhi - 110019|Modern Diagnostic Centre|011 2999 1129, 011 6536 3786, 9811219340
335|35 A, Main Surajkund Road, Pul Prahladpur, Near Sharma Market Tughlakabad, New Delhi - 110044|Dr Rupali Ultrasound Centre And Pathology Lab|011 3306 3005, 011 3382 8255, 8800545523
336|A-229 Shakti Nagar Extension, Near Shastri Nagar Metro Station Pitampura, New Delhi - 110052|Dhruv Diagnostic|011 2365 9990
337|Shop No. 102, First Floor, Pankaj Plaza, Plot no. 13, Near Agarwal Sweet, Sector 12 Dwarka, New Delhi - 110075|Central Diagnostics|011 6463 6333
338|L1, Shiv Shakti Plaza, Mahavir Enclave, Main Palam Dabri Road, Near Dwarka Crossing, Main Palam Dabri Road Dwarka, New Delhi - 110045|Sanjeevani Diagnostic Centre|011 2503 3824
339|A - 43, Palam Dabri Marg, Vaishali Colony, Dashrath Puri Dwarka, New Delhi - 110045|Bansal Diagnostic Center|011 2539 1617
340|Sector 12 Dwarka, Block A Dwarka, New Delhi - 110078|Express Clinics Pvt Ltd|011 2803 6164
341|13 &14, Kashmiri Market, Near Gate No:3, AIIMS, Yusuf Sarai, Ansari Nagar East Green Park, New Delhi - 110029|Arogyam Diagnostic Center|011 2658 9882
342|Sri Aurobindo Marg, Ansari Nagar East Green Park, New Delhi - 110016|Global Diagnostics|8860075555
343|Gyan Deep Complex, Munirka Vasant Vihar, New Delhi - 110067|Dr R Yadav Ultrasound Clinic|011 4167 0369
344|62-A, Laxmi Market, Munirka Vasant Vihar, New Delhi - 110067|Chitra Memorial Diagnostic Centre|011 2610 7009
345|Kapoor Wali Gali, Munirka Vasant Vihar, New Delhi - 110067|Amar X-ray Lab|9891135202
346|Stall No. 10, Market, R.K.Puram, Vivekanand Marg, Sector 1 Vasant Vihar, New Delhi - 110022|Chhabra Clinical Lab And Ultrasound Centre|011 2610 2637
347|132, Mian Market, Mohammad Pur, Near Bhikaji Cama Place Vasant Vihar, New Delhi - 110066|Life Care Diagnostic Centre|011 2616 4611
348|8, Palam Marg Vasant Vihar, New Delhi - 110057|SRL Diagnostics (Vasant Vihar)|011 3092 0803 
349|Freemasons Hall, Tolstoy Road, Janpath, Connaught Place Pahar Ganj, New Delhi - 110001|General Williams Masonic Polyclinic|011 2332 0673, 011 2332 8246
350|P- 10 , 4th Floor, CP, Connaught Place, Near Shivaji Stadium Pahar Ganj, New Delhi - 110001|Hindustan Wellness|011 4620 0000, 9212888000
351|1, Mehrauli Badarpur Road, Tuglakabad Institutional Area, Near Saket Metro Station Tughlakabad, New Delhi - 110044|Batra Hospital & Medical Research Centre|011 3372 8237
352|S178, Saini Enclave Karkardooma, New Delhi - 110092|GuidemyTreatment|011 4018 0000, 9210690010
353|S-212-A, Laxmi Nagar, Near Metro Station Karkardooma, New Delhi - 110092|Thyrocare Biolabs|011 3308 7874
354|House no-90 shop no-2, J&k block, Laxmi Nagar, Near Narula Bakery Karkardooma, New Delhi - 110092|Jeewan Jyoti Path Lab|9268662618, 9871336697, 8742922901
355|501, Near Rama Medicos, Kaithwara, Pehla Pushta, New Usmanpur Shahdara, New Delhi - 110032|Om Physiotherapy Clinic|9312829179, 9999240999
356|A-73, Near Shyam Garment, Vikas Marg, Laxmi Nagar, Near Madhuban Chowk Karkardooma, New Delhi - 110092|Dr Garg Labs Pvt Ltd|011 2252 0277, 011 2252 0731, 011 6574 7475, 9212378577
357|C- 4, Anand Vihar, Opposite Pushpanjali Medical Centre, Near Karkardooma Metro Station Karkardooma, New Delhi - 110092|Super Religare Laboratories|011 4242 7475, 011 2215 5678, 011 2216 4400, 9818744424, 9891493422
358|I-1177, Thanawali Road, Mangolpuri Kirari Suleman Nagar, New Delhi - 110083|Mayur X Ray And Diagnostic Centre|011 2792 5409
359|Near M2K Cinema, A-1/33, Pradeep Bhatia Marg, Sector 7A Rohini, New Delhi - 110085|Raghav Diagnostic Centre|011 2705 5440
360|A-16, Balvir Vihar,Opposite Govt.Sr.School, Dheeraj Vihar, Sector 20 Rohini, New Delhi - 110086|Sunil Diagnostics Centre|9013448325, 9312341916
361|Y-12, Main Market, Phase 1, Shukar Bazar Road, Gulab Park, Budh Vihar Phase I, Budh Vihar Kirari Suleman Nagar, New Delhi - 110086|Sharma X-ray & Diagnostic Centre|9868728881
362|D -31 ,BUDH VIHAR PHASE 1, HANUMAN MANDIR WALI GALI, Budh Vihar Phase I, Budh Vihar Kirari Suleman Nagar, New Delhi - 110086|Adarsh Imaging Centre|8375997695
363|A-23, Aurobindo Marg, Next to Free church, Green Park Paschim Vihar, New Delhi - 110016|Organ Imaging and Research Centre|011 2685 9118
364|A-4, Shiva Market Paschim Vihar, New Delhi - 110067|Nirmal X-ray & Diagnostic Centre|011 2526 8332
365|56/57, 1st Floor, D D A Market, Rohini, Behind Sachdeva Public School Rohini, New Delhi - 110085|Gagan Pathology Centre|011 2786 8256
366|G 32, Abul Fazal Enclave Part 2, Shaheen Bagh-Jamia Nagar, Near Central Bank Of India Okhla, New Delhi - 110025|Kousher Womens Clinic & Diagnostic Centre|011 3305 9479
367|231 U S Complex, Mathura Road, Opposite Apollo Hospital Tughlakabad, New Delhi - 110044|Diagomet Laboratories|011 3349 8415
